醫事機構代碼,醫事機構名稱,醫事機構地址,address_clean,latitude,longitude,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
593106A299,悅生藥局,新北市新莊區龍安路３４３－１號１樓,新北市新莊區龍安路343-1號1樓,25.0191958,121.4228151,(02)22081219,8404,1060,2020/09/15 21:44:46
593106A324,向日葵健保藥局,新北市新莊區建福路５０號１樓,新北市新莊區建福路50號1樓,25.027494,121.426452,(02)22060377,9436,1289,2020/09/15 21:44:46
593106A342,真美滿藥局,新北市新莊區幸福路７２９號２樓,新北市新莊區幸福路729號2樓,25.0490534,121.4492635,(02)29919473,11702,800,2020/09/15 21:44:46
593106A351,平安藥局,新北市新莊區民安西路６０號２樓,新北市新莊區民安西路60號2樓,25.020383,121.427195,(02)22082368,18604,504,2020/09/15 21:44:46
593106A379,輔大美康藥局,新北市新莊區中正路５１０號之１，１樓,"新北市新莊區中正路510號之1,1樓",25.0336491,121.433255,(02)29013056,1356,950,2020/09/15 21:44:46
593106A388,元大藥局,新北市新莊區富國路２０４號１、２樓,新北市新莊區富國路204號1、2樓,25.0242099,121.424704,(02)22020082,4152,1065,2020/09/15 21:44:46
593106A404,新新藥局,新北市新莊區新泰路６２號２樓,新北市新莊區新泰路62號2樓,25.034837,121.4494212,(02)29945994,12923,2083,2020/09/15 21:44:46
593106A511,明仁健保藥局,新北市新莊區民安西路１９５號１樓,新北市新莊區民安西路195號1樓,25.0151018,121.4261463,(02)22085175,17062,1030,2020/09/15 21:44:46
593106A566,一心春天藥局,新北市新莊區中和街１３號１樓、地下室,新北市新莊區中和街13號1樓、地下室,25.0434242,121.4480931,(02)89929482,5463,1305,2020/09/15 21:44:46
593106A584,記安大藥局,新北市新莊區天祥街４６號１樓,新北市新莊區天祥街46號1樓,25.028934,121.416865,(02)22095331,7680,950,2020/09/15 21:44:46
593106A600,全鎵藥局,新北市新莊區建中街２２號１樓,新北市新莊區建中街22號1樓,25.0376595,121.4492804,(02)22761550,2566,10,2020/09/15 21:44:46
593106A628,中原藥局,新北市新莊區中原路９３號１樓,新北市新莊區中原路93號1樓,25.054083,121.456308,(02)89920668,9777,190,2020/09/15 21:44:46
593106A637,薇妮藥妝藥局,新北市新莊區民安路９９號１樓,新北市新莊區民安路99號1樓,25.0252636,121.424551,(02)82010817,4435,690,2020/09/15 21:44:46
593106A646,薇妮雙鳳藥局,新北市新莊區雙鳳路２１號１樓,新北市新莊區雙鳳路21號1樓,25.026768,121.416687,(02)29076993,2465,0,2020/09/15 21:44:46
593106A655,家嘉藥局,新北市新莊區自立街１０３號１樓,新北市新莊區自立街103號1樓,25.045567,121.4553147,(02)89926488,504,0,2020/09/15 21:44:46
593106A691,大樹新莊藥局,新北市新莊區新泰路５９號１、２樓,新北市新莊區新泰路59號1、2樓,25.0340745,121.4493408,(02)22010566,2763,814,2020/09/15 21:44:46
593106A708,宏福藥局,新北市新莊區自信街５５號１樓,新北市新莊區自信街55號1樓,25.0483555,121.4550402,(02)29985225,2572,0,2020/09/15 21:44:46
593106A717,大樹幸福藥局,新北市新莊區幸福路６７２號１樓,新北市新莊區幸福路672號1樓,25.049298,121.450878,(03)4333123,2474,1974,2020/09/15 21:44:46
593106A726,良和健保藥局,新北市新莊區龍安路４９號１樓,新北市新莊區龍安路49號1樓,25.0217067,121.4153834,(02)29048157,8387,1716,2020/09/15 21:44:46
593106A735,樂家藥局,新北市新莊區中平路２７３號１樓,新北市新莊區中平路273號1樓,25.0499491,121.4447184,(02)29960723,466,432,2020/09/15 21:44:46
593106A744,永明藥局,新北市新莊區幸福路５９８號１樓,新北市新莊區幸福路598號1樓,25.0494249,121.453314,(02)89920019,2671,1440,2020/09/15 21:44:46
593106A753,宜安中西藥局,新北市新莊區龍安路２４號１樓,新北市新莊區龍安路24號1樓,25.0219441,121.414626,(02)29083318,2725,960,2020/09/15 21:44:46
593106A771,新佑康健保藥局,新北市新莊區中華路１段３５號１樓,新北市新莊區中華路1段35號1樓,25.042362,121.4529203,(02)29947490,1116,325,2020/09/15 21:44:46
593106A824,家禾藥局,新北市新莊區立信五街６號１樓,新北市新莊區立信五街6號1樓,25.051591,121.4444663,(02)29972121,2194,0,2020/09/15 21:44:46
593106A833,欣國藥局,新北市新莊區富國路５７號１樓、２樓,新北市新莊區富國路57號1樓、2樓,25.0263359,121.4194928,(02)29080958,3564,1053,2020/09/15 21:44:46
593106A842,鼎極藥局,新北市新莊區民安西路３７６號之１、之３（１樓）,新北市新莊區民安西路376號之1、之3(1樓),25.010634,121.428033,(02)22073228,10165,1339,2020/09/15 21:44:46
593106A851,躍獅新豐藥局,新北市新莊區豐年街１６號１樓,新北市新莊區豐年街16號1樓,25.0326829,121.4462346,(02)22058055,2743,568,2020/09/15 21:44:46
593106A897,陽光豐年藥局,新北市新莊區豐年街１４號１樓,新北市新莊區豐年街14號1樓,25.0327397,121.4461748,(02)22060665,1373,110,2020/09/15 21:44:46
593106A904,杏佳藥師藥局,新北市新莊區建安街１２７號１樓,新北市新莊區建安街127號1樓,25.0238054,121.4259309,(02)22037077,0,174,2020/09/15 21:44:46
593106A931,建安藥局,新北市新莊區建安街１１７號、１１９號１樓,新北市新莊區建安街117號、119號1樓,25.0239881,121.4262851,(02)22051969,5620,1336,2020/09/15 21:44:46
593106A940,樂福藥局,新北市新莊區幸福路４８號１樓,新北市新莊區幸福路48號1樓,25.0495016,121.4576765,(02)29923388,3654,300,2020/09/15 21:44:46
593106A959,新莊大藥局,新北市新莊區福壽街１３０號１樓,新北市新莊區福壽街130號1樓,25.0515278,121.4577786,(02)29933885,804,39,2020/09/15 21:44:46
593106A968,新莊丁丁藥局,新北市新莊區民安西路２３７號１樓,新北市新莊區民安西路237號1樓,25.0139501,121.4261416,22022388,15187,728,2020/09/15 21:44:46
593106A977,丹鳳藥局,新北市新莊區中正路７４５、７４７號（１樓）,新北市新莊區中正路745、747號(1樓),25.028574,121.422516,29065755,11024,1260,2020/09/15 21:44:46
593106A995,美德心藥局,新北市新莊區中平路３６７號１樓,新北市新莊區中平路367號1樓,25.0521229,121.4445947,29989025,5225,0,2020/09/15 21:44:46
593201A015,悅民藥局,桃園市桃園區中山東路１１９－１號,桃園市桃園區中山東路119-1號,24.996925,121.317403,(03)3350452,6219,1859,2020/09/15 21:44:46
593201A195,力美藥局,桃園市桃園區永安路三七七號,桃園市桃園區永安路三七七號,25.0008619,121.2990049,(03)3334191,1317,1240,2020/09/15 21:44:46
593201A284,康泰藥局,桃園市桃園區大業路一段三二三號,桃園市桃園區大業路一段三二三號,25.0114416,121.3127632,(03)3588299,2714,0,2020/09/15 21:44:46
593201A435,勝祥藥局,桃園市桃園區中正路五五八號二樓,桃園市桃園區中正路五五八號二樓,25.00363,121.305727,(03)3473856,7,9,2020/09/15 21:44:46
593201A499,永安藥局,桃園市桃園區寶山街二三五號一樓之二,桃園市桃園區寶山街二三五號一樓之二,25.011697,121.3150459,(03)3175777,6,6,2020/09/15 21:44:46
593201A506,永忻藥局,桃園市桃園區大興路一九三號一樓,桃園市桃園區大興路一九三號一樓,25.0137195,121.3037945,(03)3587669,4357,700,2020/09/15 21:44:46
593201A542,昌維藥師藥局,桃園市桃園區縣府路二二號二樓,桃園市桃園區縣府路二二號二樓,24.9931569,121.3010063,(03)3315091,423,1020,2020/09/15 21:44:46
593201A604,啄木鳥藥局,桃園市桃園區南平路４１１號,桃園縣桃園市南平路411號,25.017198,121.2963421,(03)3467698,4869,70,2020/09/15 21:44:46
593201A631,大國民藥局,桃園市桃園區中正路５７８號１樓,桃園市桃園區中正路578號1樓,25.0040652,121.3053395,(03)3355575,2800,0,2020/09/15 21:44:46
593201A640,大心藥局,桃園市桃園區中平路１４１號,桃園市桃園區中平路141號,24.9863425,121.2933802,(03)2209842,3814,0,2020/09/15 21:44:46
593201A668,佑您康聯合藥局,桃園市桃園區寶山街３８５號,桃園市桃園區寶山街385號,25.0106821,121.3116725,(03)3463999,2266,467,2020/09/15 21:44:46
593201A748,大田大藥局,桃園市桃園區中正路３８０號,桃園市桃園區中正路380號,24.999508,121.308206,(03)3372886,4414,2060,2020/09/15 21:44:46
593202A173,宏瑞藥局,桃園市中壢區興仁路三段９５號,桃園市中壢區興仁路三段95號,24.9542124,121.2642528,(03)4385067,2927,1033,2020/09/15 21:44:46
593202A226,冠昇藥局,桃園市中壢區慈惠三街１１７號２樓,桃園市中壢區慈惠三街117號2樓,24.9633869,121.2254122,(03)4260227,3007,437,2020/09/15 21:44:46
593202A244,澤仁藥局,桃園市中壢區中正路２６３號,桃園市中壢區中正路263號,24.955007,121.2193673,(03)4252254,2854,1010,2020/09/15 21:44:46
593202A360,福德藥局,桃園市中壢區福德路３０號,桃園市中壢區福德路30號,24.9739679,121.258984,(03)4511208,2562,0,2020/09/15 21:44:46
593202A600,一心藥局,桃園市中壢區環北路184號2樓,桃園市中壢區環北路184號2樓,24.9661088,121.2217535,(03)4250560,0,250,2020/09/15 21:44:46
593202A655,益昌藥局,桃園市中壢區龍岡路二段１２５號,桃園市中壢區龍岡路二段125號,24.9450672,121.2295437,(03)2842862,698,0,2020/09/15 21:44:46
593202A931,佳佑藥局,桃園市中壢區環中東路二四一號,桃園市中壢區環中東路二四一號,24.9623827,121.2554069,(03)4356190,0,728,2020/09/15 21:44:46
593202B054,幸福藥局,桃園市中壢區中光路３號,桃園市中壢區中光路3號,24.9577839,121.2257829,(03)4223092,2305,999,2020/09/15 21:44:46
593202B143,永康藥局,桃園市中壢區中華路一段六九八號二樓,桃園市中壢區中華路一段六九八號二樓,24.969011,121.248823,(03)4627301,1665,1107,2020/09/15 21:44:46
593202B214,美十藥局,桃園市中壢區健行路七九號一樓,桃園市中壢區健行路七九號一樓,24.9528576,121.2264514,(03)2840520,2329,1510,2020/09/15 21:44:46
593202B296,慧康藥局,桃園市中壢區中北路二段１０１號１樓,桃園市中壢區中北路二段101號1樓,24.9512185,121.2255204,(03)2840064,2281,50,2020/09/15 21:44:46
593202B303,優健藥局,桃園市中壢區中山東路三段九號,桃園市中壢區中山東路三段九號,24.9450383,121.2483509,(03)4364006,24,0,2020/09/15 21:44:46
593202B330,康博藥局,桃園市中壢區元化路二七二號一樓,桃園市中壢區元化路二七二號一樓,24.9620198,121.2253067,(03)4256302,2952,1325,2020/09/15 21:44:46
593202B349,健康生活藥局,桃園市中壢區中山路二五號,桃園市中壢區中山路二五號,24.9565682,121.2225806,(03)4272729,1821,1898,2020/09/15 21:44:46
593202B394,永豐藥局,桃園市中壢區民族路五段四六Ｏ號,桃園市中壢區民族路五段四六O號,24.9581041,121.1660467,(03)4205339,2304,0,2020/09/15 21:44:46
593202B401,佳音健保藥局,桃園市中壢區興仁路一段１４４號２樓,桃園市中壢區興仁路一段144號2樓,24.9698509,121.2611419,(03)4516813,3751,1259,2020/09/15 21:44:46
593202B438,祐達藥局,桃園市中壢區民族路二九八號,桃園市中壢區民族路二九八號,24.957466,121.208305,(03)4015995,2646,1506,2020/09/15 21:44:46
593202B447,榮善堂藥局,桃園市中壢區前龍街九號,桃園市中壢區前龍街九號,24.92979,121.253613,(03)4564946,1805,0,2020/09/15 21:44:46
593202B474,自立藥局,桃園市中壢區永福路１０１３號,桃園市中壢區永福路1013號,24.9642719,121.2523209,(03)4558980,5382,751,2020/09/15 21:44:46
593202B483,千葉大藥局,桃園市中壢區新生路三Ｏ七號,桃園市中壢區新生路三O七號,24.9611879,121.2230952,(03)4251886,3105,15,2020/09/15 21:44:46
593202B572,康林藥局,桃園市中壢區龍東路３５４號,桃園市中壢區龍東路354號,24.9321209,121.255808,(03)4659696,2120,1350,2020/09/15 21:44:46
593202B732,愛康藥師藥局,桃園市中壢區龍岡路一段２３０號１樓,桃園市中壢區龍岡路一段230號1樓,24.9476234,121.2261136,(03)4285907,3217,1375,2020/09/15 21:44:46
593202B787,中央藥局,桃園市中壢區中北路二段５６號,桃園市中壢區中北路二段56號,24.950399,121.2245386,(03)4579676,5459,8,2020/09/15 21:44:46
593202B803,中壢聯合藥局,桃園市中壢區大同路１３１號,桃園市中壢區大同路131號,24.9567521,121.2220293,(03)4250641,1815,120,2020/09/15 21:44:46
593210A078,康健複合式連鎖藥局,桃園市平鎮區金陵路三段９１號,桃園市平鎮區金陵路三段91號,24.928818,121.2275641,(03)4684601,0,10,2020/09/15 21:44:46
593210A103,瑞瑄社區大藥局,桃園市平鎮區中豐路南勢二段１６２號,桃園市平鎮區中豐路南勢二段162號,24.9152629,121.2105007,(03)4396205,3744,0,2020/09/15 21:44:46
593210A238,美樂蒂藥局,桃園市平鎮區民族路二三七號二樓,桃園市平鎮區民族路二三七號二樓,24.956463,121.209149,(03)4023131,2115,50,2020/09/15 21:44:46
593620A855,三德藥局,臺中市大里區瑞城里成功路４１９號,台中市大里區瑞城里成功路419號,24.0885942,120.7026619,(04)24953856,4258,1239,2020/09/15 21:44:46
593620A891,御和藥局,臺中市大里區東興里益民路二段３２３號,台中市大里區東興里益民路二段323號,24.112726,120.6837017,(04)24821555,198,490,2020/09/15 21:44:46
593620A917,三商藥局,臺中市大里區中興路２段３３３、３３５號１、２樓,台中市大里區中興路2段333、335號1、2樓,24.110616,120.689716,(04)24852072,4131,40,2020/09/15 21:44:46
593620A935,成功藥局,臺中市大里區塗城路５３０號,台中市大里區塗城路530號,24.0887994,120.701441,(04)24964323,3447,350,2020/09/15 21:44:46
593620B012,廣益藥局,臺中市大里區中興路２段１６７號,台中市大里區中興路2段167號,24.1061246,120.6893507,(04)24839630,5329,618,2020/09/15 21:44:46
593620B138,聯生中西健保藥局,臺中市大里區現岱路１５８巷１１號,台中市大里區現岱路158巷11號,24.1030654,120.6916803,(04)24834058,1111,524,2020/09/15 21:44:46
593620B165,大仁祥藥局,臺中市大里區大德街８９號１樓,台中市大里區大德街89號1樓,24.1094943,120.6805503,(04)24814349,2538,1370,2020/09/15 21:44:46
593620B183,綠洲藥局,臺中市大里區塗城路６０３號,台中市大里區塗城路603號,24.0880563,120.7037554,(04)24932626,3816,230,2020/09/15 21:44:46
593620B307,仁一藥局,臺中市大里區仁化路４９７號,臺中市大里區仁化路497號,24.096047,120.700542,(04)24913610,2656,680,2020/09/15 21:44:46
593620B316,華信藥局,臺中市大里區益民路２段１２號１樓,台中市大里區益民路2段12號1樓,24.1065601,120.6888808,(04)24872992,3513,0,2020/09/15 21:44:46
593620B325,福至藥局,臺中市大里區成功路３８５號,台中市大里區成功路385號,24.0877961,120.7024266,(04)24929116,22,515,2020/09/15 21:44:46
593620B334,健民藥局,臺中市大里區健民路８３－８號,臺中市大里區健民路83-8號,24.0912949,120.729801,(04)24927748,3570,1503,2020/09/15 21:44:46
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,花蓮縣豐濱鄉豐濱村光豐路41號,23.601916,121.5211876,8358141,7715,1175,2020/09/15 21:44:46
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,連江縣南竿鄉復興村217號,26.1610014,119.9489434,623995,4590,370,2020/09/15 21:44:46
2101010013,松山健康服務中心,臺北市松山區八德路４段６９２號６樓,台北市松山區八德路4段694號1、2樓,25.0498403,121.5773221,(02)27671757,3653,2151,2020/09/15 21:44:46
2101020019,大安健康服務中心,臺北市大安區辛亥路３段１５號,台北市大安區辛亥路3段15號,25.0215769,121.544274,(02)27335831,6350,1140,2020/09/15 21:44:46
2101090011,大同健康服務中心,臺北市大同區昌吉街５２號,台北市大同區昌吉街52號1至2樓,25.065787,121.51627,(02)25853227,3,1430,2020/09/15 21:44:46
2101100227,中山健康服務中心,臺北市中山區松江路３６７號７樓,台北市中山區松江路367號1樓,25.064444,121.533568,(02)25014616,2001,920,2020/09/15 21:44:46
2101110027,內湖健康服務中心,臺北市內湖區民權東路６段９９號２樓,台北市內湖區民權東路6段99號,25.0693188,121.5890863,(02)27911162,1348,2060,2020/09/15 21:44:46
2101120014,南港健康服務中心,臺北市南港區南港路１段３６０號７樓,台北市南港區南港路1段360號1樓,25.0545654,121.6068639,(02)27825220,3699,377,2020/09/15 21:44:46
2101150012,士林健康服務中心,臺北市士林區中正路１段４３９號２樓,台北市士林區中正路439號1樓,25.0927619,121.5195592,(02)28813039,2430,840,2020/09/15 21:44:46
2101161033,北投健康服務中心,臺北市北投區石牌路２段１１１號,台北市北投區新市街30號5樓,25.1323774,121.5029288,(02)28261026,2602,270,2020/09/15 21:44:46
2101170050,信義健康服務中心,臺北市信義區信義路５段１５號,台北市信義區信義路5段15號,25.0333271,121.5668474,(02)27234598,3193,1785,2020/09/15 21:44:46
2101180038,中正健康服務中心,臺北市中正區牯嶺街２４號,台北市中正區牯嶺街24號,25.0304135,121.51592,(02)23215158,1593,896,2020/09/15 21:44:46
2101191068,萬華健康服務中心,臺北市萬華區東園街１５２號,台北市萬華區東園街152號,25.0231545,121.497548,(02)23033092,133,2450,2020/09/15 21:44:46
2101200017,政大(文山健康服務中心),臺北市文山區木柵路３段２２０號,台北市文山區指南路2段117號,24.987628,121.5765284,(02)22343501,1572,1337,2020/09/15 21:44:46
2303240013,臺中市中西區衛生所,臺中市西區民權路１０５號,臺中市西區民權路105號,24.1411261,120.6759224,(04)22223811,4165,435,2020/09/15 21:44:46
2311010010,基隆市中正區衛生所,基隆市中正區中正路２３６號２樓,基隆市中正區中正路236號2樓,25.1407924,121.7592534,(02)24621632,3188,800,2020/09/15 21:44:46
2311020016,基隆市七堵區衛生所,基隆市七堵區光明路２１－１（１－２樓）,基隆市七堵區光明路21-1(1-2樓),25.0976273,121.7165311,(02)24562008,1875,1148,2020/09/15 21:44:46
2311030012,基隆市暖暖區衛生所,基隆市暖暖區暖暖街２８１巷９８號,基隆市暖暖區暖暖街281巷98號,25.098868,121.7364479,(02)24572630,10830,1190,2020/09/15 21:44:46
2311040018,基隆市仁愛區衛生所,基隆市仁愛區光一路２６號,基隆市仁愛區光一路26號,25.125261,121.736844,(02)24311592,580,1333,2020/09/15 21:44:46
2311050014,基隆市中山區衛生所,基隆市中山區中山二路１５號,基隆市中山區中山二路15號,25.1371702,121.7408333,(02)24229860,4423,1130,2020/09/15 21:44:46
2311060010,基隆市安樂區衛生所,基隆市安樂區安樂路２段１６４號１樓前棟,基隆市安樂區安樂路2段164號1樓前棟,25.1210471,121.7233271,(02)24318061,923,682,2020/09/15 21:44:46
2311070016,基隆市信義區衛生所,基隆市信義區信一路６９號,基隆市信義區信一路69號,25.1285766,121.7519195,(02)24221633,2448,3290,2020/09/15 21:44:46
2312010014,新竹市東區衛生所,新竹市東區民族路４０之２號,新竹市東區民族路40之2號,24.8051904,120.9732363,(03)5236158,2023,230,2020/09/15 21:44:46
2312041028,新竹市北區衛生所,新竹市北區國華街六十九號一樓,新竹市北區國華街六十九號一樓,24.8163726,120.9703141,(03)5353969,4131,300,2020/09/15 21:44:46
2312050018,新竹市香山衛生所,新竹市香山區牛埔里育德街１８８號２樓,新竹市香山區牛埔里育德街188號2樓,24.7940491,120.9422677,(03)5388109,1343,1130,2020/09/15 21:44:46
2317020010,臺中市東區衛生所,臺中市東區信義街１４２號,臺中市東區信義街142號,24.1332989,120.6877792,(04)22834121,5184,780,2020/09/15 21:44:46
2317040012,臺中市南區衛生所,臺中市南區工學路７２號２樓,台中市南區工學路72號2樓,24.1171843,120.6636421,(04)22629735,351,1060,2020/09/15 21:44:46
2317050018,臺中市北區衛生所,臺中市北區永興街３０１號４樓,臺中市北區永興街301號4樓,24.165956,120.6823193,(04)22359182,2925,2435,2020/09/15 21:44:46
2317060014,臺中市西屯區衛生所,臺中市西屯區西安里西屯路二段２９９號,臺中市西屯區西安里西屯路二段299號,24.178959,120.640332,(04)27027068,1131,260,2020/09/15 21:44:46
2317070010,臺中市南屯區衛生所,臺中市南屯區向心南路８１１號１樓,臺中市南屯區向心南路811號1樓,24.1343175,120.6438177,(04)23827640,5024,1712,2020/09/15 21:44:46
2317080016,台中市北屯區軍功衛生所,臺中市北屯區軍功路二段１６號,台中市北屯區軍功路二段16號,24.1762407,120.7193512,(04)22393932,3169,2121,2020/09/15 21:44:46
2317081022,台中市北屯區四民衛生所,臺中市北屯區后庄路１０６２號,台中市北屯區后庄路1062號,24.192751,120.6806546,(04)24211945,1183,1990,2020/09/15 21:44:46
2321010013,臺南市東區衛生所,臺南市東區龍山里林森路１段４１８號,台南市東區龍山里林森路1段418號,22.9811052,120.2134355,(06)2673613,1802,783,2020/09/15 21:44:46
2321030015,臺南市中西區衛生所,臺南市中西區安海里環河街９４號,臺南市中西區安海里環河街94號,22.995876,120.192395,(06)2252403,3461,1911,2020/09/15 21:44:46
2321040011,臺南巿北區衛生所,臺南市北區公園里西華街５０號,臺南市北區公園里西華街50號,23.0001714,120.2108907,(06)2252404,808,640,2020/09/15 21:44:46
2321060013,台南市安南區衛生所,臺南市安南區仁安路７０號２樓,台南市安南區仁安路70號2樓,23.0498419,120.1757919,(06)2567406,1797,1428,2020/09/15 21:44:46
2321070019,台南市安平區衛生所,臺南市安平區平通里育平路３１０號,台南市安平區平通里育平路310號,22.9943652,120.1682577,(06)2996885,1253,1280,2020/09/15 21:44:46
2322010017,嘉義市東區衛生所,嘉義市東區大雅路二段６２５號,嘉義市東區大雅路二段625號,23.4768617,120.4663203,(05)2750423,2677,687,2020/09/15 21:44:46
2322020013,嘉義市西區衛生所,嘉義市西區福全里德明路１號,嘉義市西區福全里德明路1號,23.479976,120.431072,(05)2337355,2124,2130,2020/09/15 21:44:46
2331070012,新北市樹林區衛生所,新北市樹林區樹新路４０－７號１、２樓,新北市樹林區樹新路40-7號1、2樓,24.9962971,121.4287161,(02)26812134,5647,651,2020/09/15 21:44:46
2331080018,新北市鶯歌區衛生所,新北市鶯歌區文化路３８９號,新北市鶯歌區文化路389號,24.950582,121.352538,(02)26702304,2792,1603,2020/09/15 21:44:46
2331090014,新北市三峽區衛生所,新北市三峽區光明路７１號３樓,新北市三峽區光明路71號3樓,24.9283135,121.3761245,(02)26711592,7713,1094,2020/09/15 21:44:46
2331100015,新北市淡水區衛生所,新北市淡水區中山路１５８號,新北市淡水區中山路158號,25.1727279,121.440901,(02)26215620,7532,556,2020/09/15 21:44:46
2331120017,新北市瑞芳區衛生所,新北市瑞芳區明燈路３段１號,新北市瑞芳區明燈路3段1號,25.1073798,121.8090713,(02)24972132,2027,940,2020/09/15 21:44:46
2331150015,新北市五股區衛生所,新北市五股區新城三路１１號１樓、２樓及３樓,新北市五股區新城三路11號1樓、2樓及3樓,25.0940597,121.44775,(02)22917717,10824,1060,2020/09/15 21:44:46
2331160011,新北市泰山區衛生所,新北市泰山區全興路２１２號３樓,新北市泰山區全興路212號3樓,25.0563924,121.4334857,(02)22962858,13117,1045,2020/09/15 21:44:46
2331170017,新北市林口區衛生所,新北市林口區忠孝二路５５號,新北市林口區忠孝二路55號,25.069685,121.3640893,(02)26068760,8072,1013,2020/09/15 21:44:46
2331180013,新北市深坑區衛生所,新北市深坑區深坑街１６５號１－３樓,新北市深坑區深坑街165號1-3樓,25.0009135,121.6125718,(02)26621567,4917,1212,2020/09/15 21:44:46
2331190019,新北市石碇區衛生所,新北市石碇區潭邊里碇坪路１段８２號,新北市石碇區潭邊里碇坪路1段82號,24.9913712,121.657633,(02)26631325,3369,1063,2020/09/15 21:44:46
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,新北市坪林區坪林街104號,24.9359218,121.7116516,(02)26656272,5094,1692,2020/09/15 21:44:46
2331210016,新北市三芝區衛生所,新北市三芝區中山路１段１２號,新北市三芝區中山路1段12號,25.2585806,121.5006647,(02)26362007,10079,1030,2020/09/15 21:44:46
2331220012,新北市石門區衛生所,新北市石門區中山路２８－１號,新北市石門區中山路28-1號,25.290217,121.5659907,(02)26381007,17290,1820,2020/09/15 21:44:46
2331230018,新北市八里區衛生所,新北市八里區舊城路１６號,新北市八里區舊城路16號,25.1465233,121.4001298,(02)26102137,5856,1385,2020/09/15 21:44:46
2331240014,新北市平溪區衛生所,新北市平溪區公園街１７號１樓,新北市平溪區公園街17號1樓,25.025059,121.7378207,(02)24951015,3996,510,2020/09/15 21:44:46
2331250010,新北市雙溪區衛生所,新北市雙溪區新基南路１８號,新北市雙溪區新基南路18號,25.0380061,121.8663007,(02)24931211,1406,1285,2020/09/15 21:44:46
2331260016,新北市貢寮區衛生所,新北市貢寮區朝陽街７０巷１０號、新北市貢寮區仁愛路１２８號,新北市貢寮區朝陽街70巷10號、新北市貢寮區仁愛路128號,25.021931,121.9095858,(02)24901431,4498,1361,2020/09/15 21:44:46
2331270012,新北市金山區衛生所,新北市金山區民生路５９號,新北市金山區民生路59號,25.2206497,121.64115,(02)24982778,3705,1336,2020/09/15 21:44:46
